,annotations
702,"(array([[21]], dtype=uint8), array([[137]], dtype=uint8), array([[472]], dtype=uint16), array([[337]], dtype=uint16), array([[115]], dtype=uint8), array(['00703.jpg'], dtype='<U9'))"
703,"(array([[11]], dtype=uint8), array([[29]], dtype=uint8), array([[631]], dtype=uint16), array([[435]], dtype=uint16), array([[137]], dtype=uint8), array(['00704.jpg'], dtype='<U9'))"
704,"(array([[17]], dtype=uint8), array([[8]], dtype=uint8), array([[343]], dtype=uint16), array([[248]], dtype=uint8), array([[95]], dtype=uint8), array(['00705.jpg'], dtype='<U9'))"
705,"(array([[13]], dtype=uint8), array([[20]], dtype=uint8), array([[626]], dtype=uint16), array([[446]], dtype=uint16), array([[145]], dtype=uint8), array(['00706.jpg'], dtype='<U9'))"
706,"(array([[26]], dtype=uint8), array([[32]], dtype=uint8), array([[677]], dtype=uint16), array([[418]], dtype=uint16), array([[1]], dtype=uint8), array(['00707.jpg'], dtype='<U9'))"
707,"(array([[102]], dtype=uint8), array([[298]], dtype=uint16), array([[903]], dtype=uint16), array([[609]], dtype=uint16), array([[164]], dtype=uint8), array(['00708.jpg'], dtype='<U9'))"
708,"(array([[129]], dtype=uint8), array([[256]], dtype=uint16), array([[729]], dtype=uint16), array([[498]], dtype=uint16), array([[36]], dtype=uint8), array(['00709.jpg'], dtype='<U9'))"
709,"(array([[13]], dtype=uint8), array([[34]], dtype=uint8), array([[272]], dtype=uint16), array([[147]], dtype=uint8), array([[46]], dtype=uint8), array(['00710.jpg'], dtype='<U9'))"
710,"(array([[29]], dtype=uint8), array([[19]], dtype=uint8), array([[623]], dtype=uint16), array([[405]], dtype=uint16), array([[169]], dtype=uint8), array(['00711.jpg'], dtype='<U9'))"
711,"(array([[457]], dtype=uint16), array([[414]], dtype=uint16), array([[1308]], dtype=uint16), array([[951]], dtype=uint16), array([[149]], dtype=uint8), array(['00712.jpg'], dtype='<U9'))"
712,"(array([[58]], dtype=uint8), array([[82]], dtype=uint8), array([[966]], dtype=uint16), array([[720]], dtype=uint16), array([[86]], dtype=uint8), array(['00713.jpg'], dtype='<U9'))"
713,"(array([[75]], dtype=uint8), array([[121]], dtype=uint8), array([[603]], dtype=uint16), array([[370]], dtype=uint16), array([[60]], dtype=uint8), array(['00714.jpg'], dtype='<U9'))"
714,"(array([[47]], dtype=uint8), array([[89]], dtype=uint8), array([[690]], dtype=uint16), array([[441]], dtype=uint16), array([[114]], dtype=uint8), array(['00715.jpg'], dtype='<U9'))"
715,"(array([[8]], dtype=uint8), array([[91]], dtype=uint8), array([[257]], dtype=uint16), array([[189]], dtype=uint8), array([[38]], dtype=uint8), array(['00716.jpg'], dtype='<U9'))"
716,"(array([[21]], dtype=uint8), array([[31]], dtype=uint8), array([[609]], dtype=uint16), array([[359]], dtype=uint16), array([[106]], dtype=uint8), array(['00717.jpg'], dtype='<U9'))"
717,"(array([[296]], dtype=uint16), array([[222]], dtype=uint8), array([[1121]], dtype=uint16), array([[607]], dtype=uint16), array([[145]], dtype=uint8), array(['00718.jpg'], dtype='<U9'))"
718,"(array([[118]], dtype=uint8), array([[93]], dtype=uint8), array([[380]], dtype=uint16), array([[317]], dtype=uint16), array([[184]], dtype=uint8), array(['00719.jpg'], dtype='<U9'))"
719,"(array([[10]], dtype=uint8), array([[62]], dtype=uint8), array([[152]], dtype=uint8), array([[117]], dtype=uint8), array([[80]], dtype=uint8), array(['00720.jpg'], dtype='<U9'))"
720,"(array([[74]], dtype=uint8), array([[231]], dtype=uint8), array([[418]], dtype=uint16), array([[360]], dtype=uint16), array([[117]], dtype=uint8), array(['00721.jpg'], dtype='<U9'))"
721,"(array([[62]], dtype=uint8), array([[102]], dtype=uint8), array([[565]], dtype=uint16), array([[405]], dtype=uint16), array([[74]], dtype=uint8), array(['00722.jpg'], dtype='<U9'))"
722,"(array([[25]], dtype=uint8), array([[241]], dtype=uint8), array([[751]], dtype=uint16), array([[524]], dtype=uint16), array([[19]], dtype=uint8), array(['00723.jpg'], dtype='<U9'))"
723,"(array([[100]], dtype=uint8), array([[27]], dtype=uint8), array([[238]], dtype=uint8), array([[125]], dtype=uint8), array([[51]], dtype=uint8), array(['00724.jpg'], dtype='<U9'))"
724,"(array([[206]], dtype=uint8), array([[55]], dtype=uint8), array([[808]], dtype=uint16), array([[570]], dtype=uint16), array([[63]], dtype=uint8), array(['00725.jpg'], dtype='<U9'))"
725,"(array([[7]], dtype=uint8), array([[85]], dtype=uint8), array([[246]], dtype=uint8), array([[182]], dtype=uint8), array([[165]], dtype=uint8), array(['00726.jpg'], dtype='<U9'))"
726,"(array([[1]], dtype=uint8), array([[31]], dtype=uint8), array([[208]], dtype=uint8), array([[92]], dtype=uint8), array([[151]], dtype=uint8), array(['00727.jpg'], dtype='<U9'))"
727,"(array([[38]], dtype=uint8), array([[66]], dtype=uint8), array([[266]], dtype=uint16), array([[181]], dtype=uint8), array([[73]], dtype=uint8), array(['00728.jpg'], dtype='<U9'))"
728,"(array([[64]], dtype=uint8), array([[160]], dtype=uint8), array([[420]], dtype=uint16), array([[347]], dtype=uint16), array([[129]], dtype=uint8), array(['00729.jpg'], dtype='<U9'))"
729,"(array([[30]], dtype=uint8), array([[56]], dtype=uint8), array([[619]], dtype=uint16), array([[395]], dtype=uint16), array([[159]], dtype=uint8), array(['00730.jpg'], dtype='<U9'))"
730,"(array([[30]], dtype=uint8), array([[37]], dtype=uint8), array([[608]], dtype=uint16), array([[331]], dtype=uint16), array([[103]], dtype=uint8), array(['00731.jpg'], dtype='<U9'))"
731,"(array([[40]], dtype=uint8), array([[349]], dtype=uint16), array([[571]], dtype=uint16), array([[613]], dtype=uint16), array([[41]], dtype=uint8), array(['00732.jpg'], dtype='<U9'))"
732,"(array([[289]], dtype=uint16), array([[136]], dtype=uint8), array([[555]], dtype=uint16), array([[306]], dtype=uint16), array([[24]], dtype=uint8), array(['00733.jpg'], dtype='<U9'))"
733,"(array([[16]], dtype=uint8), array([[157]], dtype=uint8), array([[778]], dtype=uint16), array([[520]], dtype=uint16), array([[165]], dtype=uint8), array(['00734.jpg'], dtype='<U9'))"
734,"(array([[10]], dtype=uint8), array([[60]], dtype=uint8), array([[894]], dtype=uint16), array([[506]], dtype=uint16), array([[130]], dtype=uint8), array(['00735.jpg'], dtype='<U9'))"
735,"(array([[18]], dtype=uint8), array([[4]], dtype=uint8), array([[428]], dtype=uint16), array([[251]], dtype=uint8), array([[179]], dtype=uint8), array(['00736.jpg'], dtype='<U9'))"
736,"(array([[39]], dtype=uint8), array([[12]], dtype=uint8), array([[216]], dtype=uint8), array([[187]], dtype=uint8), array([[88]], dtype=uint8), array(['00737.jpg'], dtype='<U9'))"
737,"(array([[42]], dtype=uint8), array([[153]], dtype=uint8), array([[602]], dtype=uint16), array([[389]], dtype=uint16), array([[55]], dtype=uint8), array(['00738.jpg'], dtype='<U9'))"
738,"(array([[29]], dtype=uint8), array([[86]], dtype=uint8), array([[601]], dtype=uint16), array([[373]], dtype=uint16), array([[58]], dtype=uint8), array(['00739.jpg'], dtype='<U9'))"
739,"(array([[37]], dtype=uint8), array([[77]], dtype=uint8), array([[582]], dtype=uint16), array([[342]], dtype=uint16), array([[3]], dtype=uint8), array(['00740.jpg'], dtype='<U9'))"
740,"(array([[41]], dtype=uint8), array([[81]], dtype=uint8), array([[629]], dtype=uint16), array([[410]], dtype=uint16), array([[111]], dtype=uint8), array(['00741.jpg'], dtype='<U9'))"
741,"(array([[5]], dtype=uint8), array([[25]], dtype=uint8), array([[271]], dtype=uint16), array([[177]], dtype=uint8), array([[5]], dtype=uint8), array(['00742.jpg'], dtype='<U9'))"
742,"(array([[45]], dtype=uint8), array([[115]], dtype=uint8), array([[627]], dtype=uint16), array([[455]], dtype=uint16), array([[87]], dtype=uint8), array(['00743.jpg'], dtype='<U9'))"
743,"(array([[51]], dtype=uint8), array([[52]], dtype=uint8), array([[541]], dtype=uint16), array([[364]], dtype=uint16), array([[137]], dtype=uint8), array(['00744.jpg'], dtype='<U9'))"
744,"(array([[32]], dtype=uint8), array([[72]], dtype=uint8), array([[591]], dtype=uint16), array([[386]], dtype=uint16), array([[61]], dtype=uint8), array(['00745.jpg'], dtype='<U9'))"
745,"(array([[10]], dtype=uint8), array([[18]], dtype=uint8), array([[242]], dtype=uint8), array([[181]], dtype=uint8), array([[41]], dtype=uint8), array(['00746.jpg'], dtype='<U9'))"
746,"(array([[213]], dtype=uint8), array([[307]], dtype=uint16), array([[763]], dtype=uint16), array([[557]], dtype=uint16), array([[167]], dtype=uint8), array(['00747.jpg'], dtype='<U9'))"
747,"(array([[54]], dtype=uint8), array([[39]], dtype=uint8), array([[392]], dtype=uint16), array([[188]], dtype=uint8), array([[69]], dtype=uint8), array(['00748.jpg'], dtype='<U9'))"
748,"(array([[15]], dtype=uint8), array([[36]], dtype=uint8), array([[271]], dtype=uint16), array([[154]], dtype=uint8), array([[44]], dtype=uint8), array(['00749.jpg'], dtype='<U9'))"
749,"(array([[17]], dtype=uint8), array([[70]], dtype=uint8), array([[370]], dtype=uint16), array([[257]], dtype=uint16), array([[24]], dtype=uint8), array(['00750.jpg'], dtype='<U9'))"
750,"(array([[66]], dtype=uint8), array([[247]], dtype=uint8), array([[978]], dtype=uint16), array([[527]], dtype=uint16), array([[55]], dtype=uint8), array(['00751.jpg'], dtype='<U9'))"
751,"(array([[305]], dtype=uint16), array([[270]], dtype=uint16), array([[1439]], dtype=uint16), array([[959]], dtype=uint16), array([[168]], dtype=uint8), array(['00752.jpg'], dtype='<U9'))"
752,"(array([[68]], dtype=uint8), array([[128]], dtype=uint8), array([[549]], dtype=uint16), array([[419]], dtype=uint16), array([[106]], dtype=uint8), array(['00753.jpg'], dtype='<U9'))"
753,"(array([[60]], dtype=uint8), array([[2]], dtype=uint8), array([[578]], dtype=uint16), array([[440]], dtype=uint16), array([[95]], dtype=uint8), array(['00754.jpg'], dtype='<U9'))"
754,"(array([[30]], dtype=uint8), array([[32]], dtype=uint8), array([[593]], dtype=uint16), array([[296]], dtype=uint16), array([[12]], dtype=uint8), array(['00755.jpg'], dtype='<U9'))"
755,"(array([[21]], dtype=uint8), array([[47]], dtype=uint8), array([[580]], dtype=uint16), array([[344]], dtype=uint16), array([[153]], dtype=uint8), array(['00756.jpg'], dtype='<U9'))"
756,"(array([[85]], dtype=uint8), array([[118]], dtype=uint8), array([[379]], dtype=uint16), array([[290]], dtype=uint16), array([[124]], dtype=uint8), array(['00757.jpg'], dtype='<U9'))"
757,"(array([[30]], dtype=uint8), array([[154]], dtype=uint8), array([[771]], dtype=uint16), array([[502]], dtype=uint16), array([[49]], dtype=uint8), array(['00758.jpg'], dtype='<U9'))"
758,"(array([[25]], dtype=uint8), array([[99]], dtype=uint8), array([[602]], dtype=uint16), array([[388]], dtype=uint16), array([[47]], dtype=uint8), array(['00759.jpg'], dtype='<U9'))"
759,"(array([[100]], dtype=uint8), array([[5]], dtype=uint8), array([[1179]], dtype=uint16), array([[862]], dtype=uint16), array([[170]], dtype=uint8), array(['00760.jpg'], dtype='<U9'))"
760,"(array([[57]], dtype=uint8), array([[131]], dtype=uint8), array([[570]], dtype=uint16), array([[397]], dtype=uint16), array([[87]], dtype=uint8), array(['00761.jpg'], dtype='<U9'))"
761,"(array([[6]], dtype=uint8), array([[106]], dtype=uint8), array([[611]], dtype=uint16), array([[372]], dtype=uint16), array([[172]], dtype=uint8), array(['00762.jpg'], dtype='<U9'))"
762,"(array([[66]], dtype=uint8), array([[176]], dtype=uint8), array([[588]], dtype=uint16), array([[362]], dtype=uint16), array([[174]], dtype=uint8), array(['00763.jpg'], dtype='<U9'))"
763,"(array([[8]], dtype=uint8), array([[106]], dtype=uint8), array([[391]], dtype=uint16), array([[262]], dtype=uint16), array([[165]], dtype=uint8), array(['00764.jpg'], dtype='<U9'))"
764,"(array([[6]], dtype=uint8), array([[24]], dtype=uint8), array([[297]], dtype=uint16), array([[153]], dtype=uint8), array([[21]], dtype=uint8), array(['00765.jpg'], dtype='<U9'))"
765,"(array([[18]], dtype=uint8), array([[92]], dtype=uint8), array([[532]], dtype=uint16), array([[297]], dtype=uint16), array([[174]], dtype=uint8), array(['00766.jpg'], dtype='<U9'))"
766,"(array([[106]], dtype=uint8), array([[73]], dtype=uint8), array([[805]], dtype=uint16), array([[546]], dtype=uint16), array([[22]], dtype=uint8), array(['00767.jpg'], dtype='<U9'))"
767,"(array([[9]], dtype=uint8), array([[33]], dtype=uint8), array([[246]], dtype=uint8), array([[161]], dtype=uint8), array([[82]], dtype=uint8), array(['00768.jpg'], dtype='<U9'))"
768,"(array([[61]], dtype=uint8), array([[222]], dtype=uint8), array([[959]], dtype=uint16), array([[569]], dtype=uint16), array([[61]], dtype=uint8), array(['00769.jpg'], dtype='<U9'))"
769,"(array([[21]], dtype=uint8), array([[45]], dtype=uint8), array([[772]], dtype=uint16), array([[547]], dtype=uint16), array([[24]], dtype=uint8), array(['00770.jpg'], dtype='<U9'))"
770,"(array([[22]], dtype=uint8), array([[59]], dtype=uint8), array([[626]], dtype=uint16), array([[412]], dtype=uint16), array([[168]], dtype=uint8), array(['00771.jpg'], dtype='<U9'))"
771,"(array([[30]], dtype=uint8), array([[31]], dtype=uint8), array([[611]], dtype=uint16), array([[453]], dtype=uint16), array([[20]], dtype=uint8), array(['00772.jpg'], dtype='<U9'))"
772,"(array([[33]], dtype=uint8), array([[50]], dtype=uint8), array([[197]], dtype=uint8), array([[150]], dtype=uint8), array([[1]], dtype=uint8), array(['00773.jpg'], dtype='<U9'))"
773,"(array([[45]], dtype=uint8), array([[199]], dtype=uint8), array([[615]], dtype=uint16), array([[432]], dtype=uint16), array([[91]], dtype=uint8), array(['00774.jpg'], dtype='<U9'))"
774,"(array([[82]], dtype=uint8), array([[99]], dtype=uint8), array([[565]], dtype=uint16), array([[351]], dtype=uint16), array([[138]], dtype=uint8), array(['00775.jpg'], dtype='<U9'))"
775,"(array([[15]], dtype=uint8), array([[45]], dtype=uint8), array([[639]], dtype=uint16), array([[420]], dtype=uint16), array([[119]], dtype=uint8), array(['00776.jpg'], dtype='<U9'))"
776,"(array([[18]], dtype=uint8), array([[40]], dtype=uint8), array([[491]], dtype=uint16), array([[283]], dtype=uint16), array([[120]], dtype=uint8), array(['00777.jpg'], dtype='<U9'))"
777,"(array([[60]], dtype=uint8), array([[17]], dtype=uint8), array([[455]], dtype=uint16), array([[322]], dtype=uint16), array([[180]], dtype=uint8), array(['00778.jpg'], dtype='<U9'))"
778,"(array([[17]], dtype=uint8), array([[121]], dtype=uint8), array([[555]], dtype=uint16), array([[384]], dtype=uint16), array([[68]], dtype=uint8), array(['00779.jpg'], dtype='<U9'))"
779,"(array([[36]], dtype=uint8), array([[63]], dtype=uint8), array([[478]], dtype=uint16), array([[234]], dtype=uint8), array([[18]], dtype=uint8), array(['00780.jpg'], dtype='<U9'))"
780,"(array([[38]], dtype=uint8), array([[6]], dtype=uint8), array([[595]], dtype=uint16), array([[476]], dtype=uint16), array([[88]], dtype=uint8), array(['00781.jpg'], dtype='<U9'))"
781,"(array([[68]], dtype=uint8), array([[95]], dtype=uint8), array([[593]], dtype=uint16), array([[319]], dtype=uint16), array([[101]], dtype=uint8), array(['00782.jpg'], dtype='<U9'))"
782,"(array([[156]], dtype=uint8), array([[255]], dtype=uint8), array([[955]], dtype=uint16), array([[619]], dtype=uint16), array([[79]], dtype=uint8), array(['00783.jpg'], dtype='<U9'))"
783,"(array([[42]], dtype=uint8), array([[163]], dtype=uint8), array([[725]], dtype=uint16), array([[382]], dtype=uint16), array([[103]], dtype=uint8), array(['00784.jpg'], dtype='<U9'))"
784,"(array([[19]], dtype=uint8), array([[96]], dtype=uint8), array([[469]], dtype=uint16), array([[266]], dtype=uint16), array([[22]], dtype=uint8), array(['00785.jpg'], dtype='<U9'))"
785,"(array([[13]], dtype=uint8), array([[32]], dtype=uint8), array([[774]], dtype=uint16), array([[529]], dtype=uint16), array([[191]], dtype=uint8), array(['00786.jpg'], dtype='<U9'))"
786,"(array([[114]], dtype=uint8), array([[128]], dtype=uint8), array([[800]], dtype=uint16), array([[432]], dtype=uint16), array([[141]], dtype=uint8), array(['00787.jpg'], dtype='<U9'))"
787,"(array([[30]], dtype=uint8), array([[105]], dtype=uint8), array([[294]], dtype=uint16), array([[233]], dtype=uint8), array([[115]], dtype=uint8), array(['00788.jpg'], dtype='<U9'))"
788,"(array([[23]], dtype=uint8), array([[25]], dtype=uint8), array([[245]], dtype=uint8), array([[150]], dtype=uint8), array([[162]], dtype=uint8), array(['00789.jpg'], dtype='<U9'))"
789,"(array([[124]], dtype=uint8), array([[406]], dtype=uint16), array([[1546]], dtype=uint16), array([[1120]], dtype=uint16), array([[131]], dtype=uint8), array(['00790.jpg'], dtype='<U9'))"
790,"(array([[9]], dtype=uint8), array([[61]], dtype=uint8), array([[334]], dtype=uint16), array([[199]], dtype=uint8), array([[135]], dtype=uint8), array(['00791.jpg'], dtype='<U9'))"
791,"(array([[155]], dtype=uint8), array([[59]], dtype=uint8), array([[532]], dtype=uint16), array([[361]], dtype=uint16), array([[35]], dtype=uint8), array(['00792.jpg'], dtype='<U9'))"
792,"(array([[7]], dtype=uint8), array([[50]], dtype=uint8), array([[394]], dtype=uint16), array([[261]], dtype=uint16), array([[24]], dtype=uint8), array(['00793.jpg'], dtype='<U9'))"
793,"(array([[23]], dtype=uint8), array([[102]], dtype=uint8), array([[408]], dtype=uint16), array([[265]], dtype=uint16), array([[139]], dtype=uint8), array(['00794.jpg'], dtype='<U9'))"
794,"(array([[9]], dtype=uint8), array([[30]], dtype=uint8), array([[251]], dtype=uint8), array([[169]], dtype=uint8), array([[51]], dtype=uint8), array(['00795.jpg'], dtype='<U9'))"
795,"(array([[38]], dtype=uint8), array([[213]], dtype=uint8), array([[564]], dtype=uint16), array([[436]], dtype=uint16), array([[184]], dtype=uint8), array(['00796.jpg'], dtype='<U9'))"
796,"(array([[135]], dtype=uint8), array([[62]], dtype=uint8), array([[922]], dtype=uint16), array([[611]], dtype=uint16), array([[191]], dtype=uint8), array(['00797.jpg'], dtype='<U9'))"
797,"(array([[10]], dtype=uint8), array([[1]], dtype=uint8), array([[576]], dtype=uint16), array([[261]], dtype=uint16), array([[27]], dtype=uint8), array(['00798.jpg'], dtype='<U9'))"
798,"(array([[11]], dtype=uint8), array([[96]], dtype=uint8), array([[625]], dtype=uint16), array([[387]], dtype=uint16), array([[172]], dtype=uint8), array(['00799.jpg'], dtype='<U9'))"
799,"(array([[3]], dtype=uint8), array([[73]], dtype=uint8), array([[211]], dtype=uint8), array([[148]], dtype=uint8), array([[107]], dtype=uint8), array(['00800.jpg'], dtype='<U9'))"
800,"(array([[57]], dtype=uint8), array([[158]], dtype=uint8), array([[351]], dtype=uint16), array([[296]], dtype=uint16), array([[103]], dtype=uint8), array(['00801.jpg'], dtype='<U9'))"
801,"(array([[45]], dtype=uint8), array([[140]], dtype=uint8), array([[357]], dtype=uint16), array([[247]], dtype=uint8), array([[163]], dtype=uint8), array(['00802.jpg'], dtype='<U9'))"
802,"(array([[36]], dtype=uint8), array([[36]], dtype=uint8), array([[549]], dtype=uint16), array([[457]], dtype=uint16), array([[24]], dtype=uint8), array(['00803.jpg'], dtype='<U9'))"
803,"(array([[78]], dtype=uint8), array([[31]], dtype=uint8), array([[570]], dtype=uint16), array([[419]], dtype=uint16), array([[166]], dtype=uint8), array(['00804.jpg'], dtype='<U9'))"
804,"(array([[15]], dtype=uint8), array([[32]], dtype=uint8), array([[296]], dtype=uint16), array([[149]], dtype=uint8), array([[190]], dtype=uint8), array(['00805.jpg'], dtype='<U9'))"
805,"(array([[79]], dtype=uint8), array([[171]], dtype=uint8), array([[713]], dtype=uint16), array([[385]], dtype=uint16), array([[92]], dtype=uint8), array(['00806.jpg'], dtype='<U9'))"
806,"(array([[13]], dtype=uint8), array([[87]], dtype=uint8), array([[630]], dtype=uint16), array([[401]], dtype=uint16), array([[121]], dtype=uint8), array(['00807.jpg'], dtype='<U9'))"
807,"(array([[9]], dtype=uint8), array([[46]], dtype=uint8), array([[141]], dtype=uint8), array([[94]], dtype=uint8), array([[119]], dtype=uint8), array(['00808.jpg'], dtype='<U9'))"
808,"(array([[58]], dtype=uint8), array([[13]], dtype=uint8), array([[579]], dtype=uint16), array([[414]], dtype=uint16), array([[160]], dtype=uint8), array(['00809.jpg'], dtype='<U9'))"
809,"(array([[66]], dtype=uint8), array([[18]], dtype=uint8), array([[237]], dtype=uint8), array([[185]], dtype=uint8), array([[111]], dtype=uint8), array(['00810.jpg'], dtype='<U9'))"
810,"(array([[49]], dtype=uint8), array([[114]], dtype=uint8), array([[577]], dtype=uint16), array([[367]], dtype=uint16), array([[117]], dtype=uint8), array(['00811.jpg'], dtype='<U9'))"
811,"(array([[1]], dtype=uint8), array([[63]], dtype=uint8), array([[480]], dtype=uint16), array([[315]], dtype=uint16), array([[68]], dtype=uint8), array(['00812.jpg'], dtype='<U9'))"
812,"(array([[32]], dtype=uint8), array([[93]], dtype=uint8), array([[941]], dtype=uint16), array([[696]], dtype=uint16), array([[139]], dtype=uint8), array(['00813.jpg'], dtype='<U9'))"
813,"(array([[17]], dtype=uint8), array([[35]], dtype=uint8), array([[234]], dtype=uint8), array([[167]], dtype=uint8), array([[82]], dtype=uint8), array(['00814.jpg'], dtype='<U9'))"
814,"(array([[34]], dtype=uint8), array([[74]], dtype=uint8), array([[473]], dtype=uint16), array([[273]], dtype=uint16), array([[137]], dtype=uint8), array(['00815.jpg'], dtype='<U9'))"
815,"(array([[12]], dtype=uint8), array([[34]], dtype=uint8), array([[139]], dtype=uint8), array([[78]], dtype=uint8), array([[57]], dtype=uint8), array(['00816.jpg'], dtype='<U9'))"
816,"(array([[28]], dtype=uint8), array([[96]], dtype=uint8), array([[477]], dtype=uint16), array([[317]], dtype=uint16), array([[143]], dtype=uint8), array(['00817.jpg'], dtype='<U9'))"
817,"(array([[57]], dtype=uint8), array([[220]], dtype=uint8), array([[673]], dtype=uint16), array([[468]], dtype=uint16), array([[160]], dtype=uint8), array(['00818.jpg'], dtype='<U9'))"
818,"(array([[8]], dtype=uint8), array([[17]], dtype=uint8), array([[388]], dtype=uint16), array([[287]], dtype=uint16), array([[135]], dtype=uint8), array(['00819.jpg'], dtype='<U9'))"
819,"(array([[30]], dtype=uint8), array([[116]], dtype=uint8), array([[963]], dtype=uint16), array([[523]], dtype=uint16), array([[63]], dtype=uint8), array(['00820.jpg'], dtype='<U9'))"
820,"(array([[37]], dtype=uint8), array([[153]], dtype=uint8), array([[411]], dtype=uint16), array([[299]], dtype=uint16), array([[78]], dtype=uint8), array(['00821.jpg'], dtype='<U9'))"
821,"(array([[391]], dtype=uint16), array([[169]], dtype=uint8), array([[859]], dtype=uint16), array([[401]], dtype=uint16), array([[152]], dtype=uint8), array(['00822.jpg'], dtype='<U9'))"
822,"(array([[15]], dtype=uint8), array([[24]], dtype=uint8), array([[144]], dtype=uint8), array([[72]], dtype=uint8), array([[62]], dtype=uint8), array(['00823.jpg'], dtype='<U9'))"
823,"(array([[174]], dtype=uint8), array([[243]], dtype=uint8), array([[846]], dtype=uint16), array([[546]], dtype=uint16), array([[114]], dtype=uint8), array(['00824.jpg'], dtype='<U9'))"
824,"(array([[3]], dtype=uint8), array([[57]], dtype=uint8), array([[455]], dtype=uint16), array([[287]], dtype=uint16), array([[23]], dtype=uint8), array(['00825.jpg'], dtype='<U9'))"
825,"(array([[120]], dtype=uint8), array([[90]], dtype=uint8), array([[610]], dtype=uint16), array([[359]], dtype=uint16), array([[110]], dtype=uint8), array(['00826.jpg'], dtype='<U9'))"
826,"(array([[165]], dtype=uint8), array([[123]], dtype=uint8), array([[645]], dtype=uint16), array([[366]], dtype=uint16), array([[132]], dtype=uint8), array(['00827.jpg'], dtype='<U9'))"
827,"(array([[4]], dtype=uint8), array([[91]], dtype=uint8), array([[600]], dtype=uint16), array([[308]], dtype=uint16), array([[163]], dtype=uint8), array(['00828.jpg'], dtype='<U9'))"
828,"(array([[191]], dtype=uint8), array([[332]], dtype=uint16), array([[1027]], dtype=uint16), array([[663]], dtype=uint16), array([[63]], dtype=uint8), array(['00829.jpg'], dtype='<U9'))"
829,"(array([[159]], dtype=uint8), array([[131]], dtype=uint8), array([[533]], dtype=uint16), array([[356]], dtype=uint16), array([[52]], dtype=uint8), array(['00830.jpg'], dtype='<U9'))"
830,"(array([[51]], dtype=uint8), array([[55]], dtype=uint8), array([[618]], dtype=uint16), array([[377]], dtype=uint16), array([[61]], dtype=uint8), array(['00831.jpg'], dtype='<U9'))"
831,"(array([[14]], dtype=uint8), array([[5]], dtype=uint8), array([[246]], dtype=uint8), array([[188]], dtype=uint8), array([[113]], dtype=uint8), array(['00832.jpg'], dtype='<U9'))"
832,"(array([[102]], dtype=uint8), array([[85]], dtype=uint8), array([[463]], dtype=uint16), array([[360]], dtype=uint16), array([[135]], dtype=uint8), array(['00833.jpg'], dtype='<U9'))"
833,"(array([[26]], dtype=uint8), array([[113]], dtype=uint8), array([[612]], dtype=uint16), array([[372]], dtype=uint16), array([[120]], dtype=uint8), array(['00834.jpg'], dtype='<U9'))"
834,"(array([[80]], dtype=uint8), array([[158]], dtype=uint8), array([[453]], dtype=uint16), array([[345]], dtype=uint16), array([[24]], dtype=uint8), array(['00835.jpg'], dtype='<U9'))"
835,"(array([[27]], dtype=uint8), array([[125]], dtype=uint8), array([[425]], dtype=uint16), array([[311]], dtype=uint16), array([[177]], dtype=uint8), array(['00836.jpg'], dtype='<U9'))"
836,"(array([[44]], dtype=uint8), array([[112]], dtype=uint8), array([[633]], dtype=uint16), array([[374]], dtype=uint16), array([[78]], dtype=uint8), array(['00837.jpg'], dtype='<U9'))"
837,"(array([[20]], dtype=uint8), array([[224]], dtype=uint8), array([[988]], dtype=uint16), array([[644]], dtype=uint16), array([[193]], dtype=uint8), array(['00838.jpg'], dtype='<U9'))"
838,"(array([[35]], dtype=uint8), array([[19]], dtype=uint8), array([[614]], dtype=uint16), array([[435]], dtype=uint16), array([[146]], dtype=uint8), array(['00839.jpg'], dtype='<U9'))"
839,"(array([[105]], dtype=uint8), array([[104]], dtype=uint8), array([[626]], dtype=uint16), array([[312]], dtype=uint16), array([[58]], dtype=uint8), array(['00840.jpg'], dtype='<U9'))"
840,"(array([[41]], dtype=uint8), array([[67]], dtype=uint8), array([[432]], dtype=uint16), array([[286]], dtype=uint16), array([[151]], dtype=uint8), array(['00841.jpg'], dtype='<U9'))"
841,"(array([[42]], dtype=uint8), array([[147]], dtype=uint8), array([[753]], dtype=uint16), array([[414]], dtype=uint16), array([[114]], dtype=uint8), array(['00842.jpg'], dtype='<U9'))"
842,"(array([[17]], dtype=uint8), array([[31]], dtype=uint8), array([[342]], dtype=uint16), array([[242]], dtype=uint8), array([[159]], dtype=uint8), array(['00843.jpg'], dtype='<U9'))"
843,"(array([[30]], dtype=uint8), array([[15]], dtype=uint8), array([[639]], dtype=uint16), array([[419]], dtype=uint16), array([[171]], dtype=uint8), array(['00844.jpg'], dtype='<U9'))"
844,"(array([[52]], dtype=uint8), array([[16]], dtype=uint8), array([[246]], dtype=uint8), array([[168]], dtype=uint8), array([[188]], dtype=uint8), array(['00845.jpg'], dtype='<U9'))"
845,"(array([[39]], dtype=uint8), array([[119]], dtype=uint8), array([[558]], dtype=uint16), array([[434]], dtype=uint16), array([[86]], dtype=uint8), array(['00846.jpg'], dtype='<U9'))"
846,"(array([[56]], dtype=uint8), array([[23]], dtype=uint8), array([[415]], dtype=uint16), array([[334]], dtype=uint16), array([[159]], dtype=uint8), array(['00847.jpg'], dtype='<U9'))"
